iso,name,planted_forest__ha,primary_forest__ha,regenerated_forest__ha,fao_treecover__ha,area_ha
NIC,Nicaragua,48000,1234000,1832000,3114000,"13,037.00"
NIU,Niue,300,5600,12200,18100,26
NLD,Netherlands,376000,0,0,376000,"4,162.00"
NOR,Norway,1529000,160000,10423000,12112000,"32,378.00"
NPL,Nepal,43000,526000,3067000,3636000,"14,718.00"
NRU,Nauru,0,0,0,0,2
NZL,New Zealand,2087000,2160000,5905000,10152000,"26,771.00"
OMN,Oman,2000,0,0,2000,"30,950.00"
PAK,Pakistan,362000,0,1110000,1472000,"79,610.00"
PAN,Panama,80400,0,4537000,4617000,"7,542.00"
PER,Peru,1157000,65790000,7026000,73973000,"128,522.00"
PHL,Philippines,1245000,861000,5934000,8040000,"30,000.00"
PLW,Palau,,,,40303,46
PNG,Papua New Guinea,0,17599000,15960000,33559000,"46,891.00"
POL,Poland,8957000,59000,419000,9435000,"31,268.00"
PRI,Puerto Rico,0,0,495950,495950,864.4
PRK,Dem People's Rep of Korea,704000,701000,3626000,5031000,"12,054.00"
PRT,Portugal,891000,24100,2267000,3182000,"9,209.00"
PRY,Paraguay,98000,1884000,13341000,15323000,"40,675.00"
PSE,West Bank,,,,9170,602
PYF,French Polynesia,10000,40000,105000,155000,400
QAT,Qatar,0,0,0,0,"1,100.00"
REU,Réunion,5000,55000,28000,88000,251
ROU,Romania,569000,283000,6009000,6861000,"23,839.00"
RUS,Russian Federation,19841000,272717600,522371900,814930500,"1,709,824.00"
RWA,Rwanda,418000,7000,55000,480000,"2,634.00"
SAU,Saudi Arabia,0,360000,617000,977000,"214,969.00"
SDN,Sudan,6121032,1344696,11744210,19209938,"187,955.30"
SEN,Senegal,561000,1508000,6204000,8273000,"19,672.00"
SGP,Singapore,0,210,16140,16350.000000000002,71
SHN,Saint Helena,,,,2000,39
SJM,Svalbard and Jan Mayen,0,0,0,0,"6,140.00"
SLB,Solomon Islands,26900,1105400,1052700,2185000,"2,890.00"
SLE,Sierra Leone,16400,85200,2526100,3044000,"7,174.00"
SLV,El Salvador,16200,4800,244000,265000,"2,104.00"
SMR,San Marino,0,0,0,0,6
SOM,Somalia,3000,0,6360000,6363000,"63,766.00"
SPM,Saint Pierre and Miquelon,0,0,2800,2800,24
SRB,Serbia,215000,1000,2504000,2720000,"8,836.00"
SSD,South Sudan,,,,7157000,"63,617.00"
STP,Sao Tome and Principe,0,27000,26600,53600,96
SUR,Suriname,13000,14019000,1300000,15332000,"16,382.00"
SVK,Slovakia,960000,24000,956000,1940000,"4,904.00"
SVN,Slovenia,34000,49000,1165000,1248000,"2,027.00"
SWE,Sweden,13737000,2417000,11919000,28073000,"45,030.00"
SWZ,Swaziland,135000,0,450000,586000,"1,736.00"
SYC,Seychelles,4800,2000,33800,40666,46
SYR,Syrian Arab Republic,,,,491000,"18,503.00"
TCA,Turks and Caicos Islands,,,,34400,43
TCD,Chad,18300,,4857000,4875000,"128,400.00"
TGO,Togo,46000,0,142000,188000,"5,679.00"
THA,Thailand,3986000,6726000,5687000,16399000,"51,312.00"
TJK,Tajikistan,103000,297000,12000,412000,"14,153.00"
TKL,Tokelau,0,0,0,0,1
