N,X,Y,H
62,36.3823397085071,55.2169817313552,170.77
63,36.3821602519602,55.2170961443335,170.77
64,36.3819261454046,55.2172124013305,171.25
65,36.3818662986159,55.2172460127622,171.25
66,36.3817719183862,55.2172835636884,171.73
67,36.3817274942994,55.217293119058,171.25
68,36.3816015142947,55.2173532173038,171.73
69,36.3814904540777,55.2173818834126,171.73
70,36.3813059683889,55.2174600865692,172.21
71,36.3810831774026,55.2175684645772,172.21
72,36.3809303753078,55.2176635991782,172.69
73,36.3808157108724,55.2177348453552,172.69
74,36.3807707838714,55.2177599072456,172.69
75,36.3806100189686,55.2178976219147,172.21
76,36.380489487201,55.2180075924844,171.73
77,36.3803368527442,55.2180848736316,170.77
78,36.3803148921579,55.2180837839842,170.77
79,36.3803272973746,55.218130722642,170.29
80,36.3803021516651,55.218112282455,170.77
81,36.3803077675402,55.2180930040777,170.77
82,36.3802802748978,55.2181461453438,171.25
83,36.380182877183,55.2182162180543,170.77
84,36.3799876626581,55.2183488197625,169.81
85,36.3797756005079,55.2184959221631,169.81
86,36.3796440046281,55.2186200581491,168.37
87,36.3795529771596,55.2187524922192,167.41
88,36.379535542801,55.2187974192202,166.93
89,36.3795959763229,55.2189364749938,165
90,36.3797353673726,55.2190337888896,164.04
91,36.3798308372498,55.2191029395908,164.04
92,36.3798322621733,55.2191151771694,164.04
93,36.379622714594,55.2191337849945,164.52
94,36.379374358803,55.2191501297057,165.48
95,36.3791240751743,55.2191487886012,166.45
96,36.378893237561,55.2191197872162,167.89
97,36.3788555189967,55.2191176079214,167.89
98,36.3785905670375,55.2191082201898,168.37
99,36.3783442229033,55.2190886903554,168.85
100,36.3783115334809,55.2190835773945,168.85
101,36.3780423905701,55.2190430928022,169.33
102,36.3778196834028,55.2190218027681,171.25
103,36.3775481935591,55.219008307904,171.73
104,36.3772218022496,55.2189919631928,172.21
105,36.3767740409821,55.2189803123474,172.69
106,36.3764928281307,55.2189680747688,172.69
107,36.3760344218463,55.2189373970032,172.21
108,36.375597724691,55.2189140114933,172.69
109,36.375309638679,55.2188949007541,172.69
110,36.3751917053014,55.2188974991441,172.21
111,36.3749300222844,55.2188781369478,171.25
112,36.3745833467692,55.2188329584897,170.77
113,36.3742820173502,55.2188195474446,170.77
114,36.3740980345756,55.2188118360937,170.29
115,36.3739821128547,55.2188089024275,170.29
116,36.3738735672086,55.2188210561872,169.81
117,36.3738034944981,55.2188329584897,169.81
118,36.3737259618938,55.2187887020409,169.33
119,36.3735963776708,55.2188079804182,168.85
120,36.3736615050584,55.218807393685,168.85
121,36.3736650254577,55.2187410928309,167.89
122,36.3735832180828,55.2186929807067,168.85
123,36.3735817931593,55.2186900470406,169.81
124,36.3735669571906,55.2186869457364,168.85
125,36.3735667057335,55.218699015677,169.33
126,36.3736879918724,55.218728268519,169.81
127,36.3737407978624,55.2187936473638,169.33
128,36.3738029077649,55.2188142668456,169.81
129,36.373776672408,55.2188356406987,169.33
130,36.3736530393362,55.2187976706773,169.33
131,36.3736470043659,55.2188270073384,170.29
132,36.3736462499946,55.2188239898533,168.85
133,36.3736925181001,55.2188036218286,169.81
134,36.3737442344427,55.2188163623214,169.81
135,36.3737605791539,55.2188586909324,170.29
136,36.3736980501562,55.2188711799681,169.81
137,36.3737972918898,55.2188587747514,170.29
138,36.373800560832,55.2188213076442,170.77
139,36.3737791869789,55.2187764644623,170.77
140,36.3736827112734,55.2187772188336,170.29
141,36.3736274745315,55.2188041247428,170.29
142,36.3735869899392,55.2187819965184,170.29
143,36.373628731817,55.2187608741224,170.77
144,36.3736884109676,55.2187491394579,170.77
145,36.3736488483846,55.2187685016543,170.77
146,36.3736309949309,55.2187829185277,170.77
