N,X,Y,H
75,36.3846931792796,55.1971990987659,206.34
76,36.3846963644028,55.1972197182477,206.82
77,36.3847057521343,55.197223154828,206.82
78,36.3847008906305,55.1972252503038,206.34
79,36.3847220130265,55.1972281839699,206.34
80,36.3847170677036,55.1972449477762,206.34
81,36.3847255334258,55.1972317881882,206.34
82,36.3847414590418,55.1972275134176,206.34
83,36.384744476527,55.1972053851932,206.82
84,36.3847359269857,55.1972212269902,206.34
85,36.3847427163273,55.1972097437829,206.34
86,36.3847265392542,55.1972161978483,206.34
87,36.3847341667861,55.1972237415612,205.86
88,36.3847236894071,55.1972360629588,205.86
89,36.3847663532943,55.1972262561321,205.86
90,36.3847428001463,55.1972182933241,205.38
91,36.3847314845771,55.1972273457795,205.38
92,36.3847402017564,55.1972378231585,205.86
93,36.3847463205457,55.1972346380353,204.9
94,36.384733915329,55.1972348894924,205.38
95,36.3847536128014,55.1972348894924,204.9
96,36.3847811054438,55.1972437743097,204.42
97,36.3847666047513,55.1972253341228,204.42
98,36.3847676943988,55.1972331292927,204.42
99,36.384749757126,55.1972199697047,204.42
100,36.3847686164081,55.19720220007,203.94
101,36.3847425486893,55.1972009427845,203.94
102,36.3847466558218,55.1972293574363,203.46
103,36.3847174029797,55.1972363144159,203.46
104,36.3847409561276,55.1972398348153,203.94
105,36.3847020640969,55.197228519246,203.94
106,36.3846982084215,55.1972405053675,203.94
107,36.3847329933196,55.1972164493054,203.94
108,36.3847464043647,55.1972186286002,203.94
109,36.3847547024489,55.1972200535238,203.94
110,36.3847302272916,55.1972213946283,203.94
111,36.3847349211574,55.1972158625722,204.42
112,36.3847317360342,55.1972017809749,203.94
113,36.3847502600402,55.1972151920199,204.42
114,36.3847557920963,55.1972264237702,203.94
115,36.3847779203206,55.197252240032,202.98
116,36.3847377710044,55.1972726918757,203.46
117,36.3847352564335,55.1972902938724,203.46
118,36.3847655151039,55.1973084826022,203.46
119,36.3847319874913,55.1973032858223,202.98
120,36.3847050815821,55.1972850970924,203.46
121,36.384704997763,55.1972790621221,202.98
